Sample	Complete_pct	Single_pct	Duplicated_pct	Fragmented_pct	Missing_pct	Complete_n	Single_n	Duplicated_n	Fragmented_n	Missing_n	Total_n
run_bacteria_odb10	100	100	0	0	0	124	124	0	0	0	124
GCF_000007545.1_ASM754v1	100	100	0	0	0	124	124	0	0	0	124
run_bacteria_odb10	98.39	98.39	0	0	1.61	122	122	0	0	2	124
GCF_000020745.1_ASM2074v1	98.39	98.39	0	0	1.61	122	122	0	0	2	124
run_bacteria_odb10	99.19	99.19	0	0	0.81	123	123	0	0	1	124
GCF_000020885.1_ASM2088v1	99.19	99.19	0	0	0.81	123	123	0	0	1	124
run_bacteria_odb10	98.39	98.39	0	0	1.61	122	122	0	0	2	124
GCF_000020925.1_ASM2092v1	98.39	98.39	0	0	1.61	122	122	0	0	2	124
run_bacteria_odb10	98.39	98.39	0	0	1.61	122	122	0	0	2	124
GCF_000022165.1_ASM2216v1	98.39	98.39	0	0	1.61	122	122	0	0	2	124
run_bacteria_odb10	98.39	98.39	0	0	1.61	122	122	0	0	2	124
GCF_000170215.1_ASM17021v1	98.39	98.39	0	0	1.61	122	122	0	0	2	124
run_bacteria_odb10	69.35	69.35	0	5.65	25	86	86	0	7	31	124
GCF_000170255.1_ASM17025v1	69.35	69.35	0	5.65	25	86	86	0	7	31	124
run_bacteria_odb10	80.65	80.65	0	1.61	17.74	100	100	0	2	22	124
GCF_000171255.1_ASM17125v1	80.65	80.65	0	1.61	17.74	100	100	0	2	22	124
run_bacteria_odb10	67.74	67.74	0	7.26	25	84	84	0	9	31	124
GCF_000171275.1_ASM17127v1	67.74	67.74	0	7.26	25	84	84	0	9	31	124
run_bacteria_odb10	67.74	67.74	0	5.65	26.61	84	84	0	7	33	124
GCF_000171315.1_ASM17131v1	67.74	67.74	0	5.65	26.61	84	84	0	7	33	124
run_bacteria_odb10	98.39	98.39	0	1.61	0	122	122	0	2	0	124
GCF_000171415.1_ASM17141v1	98.39	98.39	0	1.61	0	122	122	0	2	0	124
run_bacteria_odb10	93.55	93.55	0	0.81	5.65	116	116	0	1	7	124
GCF_000171515.1_ASM17151v1	93.55	93.55	0	0.81	5.65	116	116	0	1	7	124
run_bacteria_odb10	100	100	0	0	0	124	124	0	0	0	124
GCF_000171535.2_ASM17153v2	100	100	0	0	0	124	124	0	0	0	124
