Assembly	GCF_000007545.1_ASM754v1_genomic	GCF_000020745.1_ASM2074v1_genomic	GCF_000020885.1_ASM2088v1_genomic	GCF_000020925.1_ASM2092v1_genomic	GCF_000022165.1_ASM2216v1_genomic	GCF_000170215.1_ASM17021v1_genomic	GCF_000171415.1_ASM17141v1_genomic	GCF_000171515.1_ASM17151v1_genomic	GCF_000171535.2_ASM17153v2_genomic
# contigs (>= 0 bp)	1	3	2	2	2	2	63	50	5
# contigs (>= 1000 bp)	1	3	2	2	2	2	35	46	5
# contigs (>= 5000 bp)	1	2	2	2	2	2	24	28	3
# contigs (>= 10000 bp)	1	2	2	2	2	1	23	25	2
# contigs (>= 25000 bp)	1	2	2	2	2	1	20	20	2
# contigs (>= 50000 bp)	1	2	1	2	2	1	15	17	2
Total length (>= 0 bp)	4791961	4823887	4836638	4917459	4964097	4726474	4948011	4793325	4876885
Total length (>= 1000 bp)	4791961	4823887	4836638	4917459	4964097	4726474	4926459	4789791	4876885
Total length (>= 5000 bp)	4791961	4819302	4836638	4917459	4964097	4726474	4910543	4758237	4870009
Total length (>= 10000 bp)	4791961	4819302	4836638	4917459	4964097	4719855	4901456	4740722	4864129
Total length (>= 25000 bp)	4791961	4819302	4836638	4917459	4964097	4719855	4848985	4644902	4864129
Total length (>= 50000 bp)	4791961	4819302	4798660	4917459	4964097	4719855	4698417	4537619	4864129
# contigs	1	3	2	2	2	2	63	50	5
Largest contig	4791961	4709075	4798660	4842908	4870265	4719855	741259	776389	3027433
Total length	4791961	4823887	4836638	4917459	4964097	4726474	4948011	4793325	4876885
GC (%)	52.05	52.21	52.00	52.13	52.21	52.26	52.10	52.27	52.07
N50	4791961	4709075	4798660	4842908	4870265	4719855	484233	370713	3027433
N90	4791961	4709075	4798660	4842908	4870265	4719855	89958	92588	1836696
auN	4791961.0	4599518.7	4761278.4	4770617.5	4779980.2	4713254.5	450795.3	379247.4	2571079.9
L50	1	1	1	1	1	1	5	5	1
L90	1	1	1	1	1	1	12	14	2
# N's per 100 kbp	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06
