# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	249	617	+	PKJKAM_00001	-	-	-	-	-	-
contig_2	cds	256	774	+	PKJKAM_00002	263.0	7.8e-89	1.0	0.827	0.773	UniRef:UniRef50_A0A376JUL7
contig_3	rRNA	1	906	+	PKJKAM_00003	831.9	5.7e-01	-	-	-	RFAM:RF02541
contig_4	cds	29	424	+	PKJKAM_00004	-	-	-	-	-	-
contig_4	cds	496	720	-	PKJKAM_00005	132.0	2.0e-40	1.216	1.0	0.789	UniRef:UniRef50_G5NAS5
contig_5	rRNA	1	1033	-	PKJKAM_00006	958.7	2.8e-01	-	-	-	RFAM:RF02541
contig_6	rRNA	1	1042	+	PKJKAM_00007	923.7	3.4e-01	-	-	-	RFAM:RF02541
contig_7	tRNA	321	397	-	PKJKAM_00008	93.7	-	-	-	-	-
contig_7	cds	460	855	-	PKJKAM_00009	276.0	7.1e-96	1.0	1.0	1.0	UniRef:UniRef50_A0A5X0QX06
contig_8	rRNA	12	127	-	PKJKAM_00010	90.1	7.3e-15	-	-	-	RFAM:RF00001
contig_8	rRNA	221	1158	-	PKJKAM_00011	1000.7	2.2e-01	-	-	-	RFAM:RF02541
contig_9	rRNA	1	1170	+	PKJKAM_00012	1032.1	1.8e-01	-	-	-	RFAM:RF02541
contig_10	rRNA	1	928	+	PKJKAM_00013	989.6	2.3e-01	-	-	-	RFAM:RF02541
contig_10	rRNA	1125	1240	+	PKJKAM_00014	90.3	6.7e-15	-	-	-	RFAM:RF00001
contig_11	cds	526	879	+	PKJKAM_00015	-	-	-	-	-	-
contig_11	cds	813	1214	-	PKJKAM_00016	252.0	1.9e-88	1.0	1.0	0.992	IS:ISSen1
contig_12	cds	343	780	-	PKJKAM_00017	194.0	1.1e-62	0.966	0.800	0.686	UniRef:UniRef50_P09163
contig_13	cds	916	1089	-	PKJKAM_00018	64.7	3.6e-14	0.982	0.848	0.554	UniRef:UniRef50_C7RBG1
contig_14	rRNA	1	1416	+	PKJKAM_00019	1422.8	2.0e-02	-	-	-	RFAM:RF02541
contig_15	rRNA	1	1504	+	PKJKAM_00020	1385.2	2.5e-02	-	-	-	RFAM:RF02541
contig_16	cds	159	629	+	PKJKAM_00021	-	-	-	-	-	-
contig_16	cds	876	1220	-	PKJKAM_00022	-	-	-	-	-	-
contig_16	cds	1222	1485	-	PKJKAM_00023	134.0	1.2e-40	1.0	0.853	0.678	UniRef:UniRef50_A0A3M5DUX6
contig_17	rRNA	129	1669	+	PKJKAM_00024	1574.8	9.3e-48	-	-	-	RFAM:RF00177
contig_18	cds	255	779	-	PKJKAM_00025	-	-	-	-	-	-
contig_18	cds	1198	1452	+	PKJKAM_00026	-	-	-	-	-	-
contig_19	cds	131	676	-	PKJKAM_00027	292.0	3.9e-101	0.823	1.0	0.966	UniRef:UniRef50_A0A4Q3YN90
contig_19	cds	678	1061	-	PKJKAM_00028	201.0	7.7e-66	1.0	0.809	0.866	UniRef:UniRef50_P0AG96
contig_19	cds	1291	2022	-	PKJKAM_00029	411.0	8.1e-146	0.934	0.962	0.956	UniRef:UniRef50_A0AA44SHC5
contig_20	cds	62	814	-	PKJKAM_00030	-	-	-	-	-	-
contig_20	ncRNA	813	942	+	PKJKAM_00031	118.4	2.1e-17	-	-	-	RFAM:RF02957
contig_20	cds	1048	1686	+	PKJKAM_00032	291.0	9.0e-100	0.873	1.005	0.827	UniRef:UniRef50_R8X1U1
contig_20	cds	1713	1934	+	PKJKAM_00033	-	-	-	-	-	-
contig_20	cds	2515	2943	-	PKJKAM_00034	186.0	3.6e-60	0.831	0.908	0.737	UniRef:UniRef50_A0A8S0FRF7
contig_21	cds	149	583	-	PKJKAM_00035	283.0	3.8e-98	1.0	0.911	1.0	UniRef:UniRef50_G5QXR7
contig_21	cds	951	1271	+	PKJKAM_00036	183.0	1.2e-59	1.0	0.841	0.887	UniRef:UniRef50_A0A2V4FYD3
contig_21	cds	1362	2339	+	PKJKAM_00037	407.0	6.6e-140	1.375	1.054	0.530	UniRef:UniRef50_A0A5U9MFF6
contig_21	cds	2342	3091	+	PKJKAM_00038	478.0	1.1e-171	1.084	1.0	0.919	UniRef:UniRef50_P77546
contig_22	tRNA	524	599	-	PKJKAM_00039	75.3	-	-	-	-	-
contig_22	cds	705	1412	-	PKJKAM_00040	345.0	2.2e-119	1.013	0.952	0.782	UniRef:UniRef50_A0A2S4RTH8
contig_22	cds	1837	3972	+	PKJKAM_00041	1336.0	0.0	1.0	0.961	0.910	UniRef:UniRef50_P21169
contig_22	cds	4034	4300	-	PKJKAM_00042	-	-	-	-	-	-
contig_23	cds	662	1108	-	PKJKAM_00043	261.0	6.0e-89	1.0	0.836	0.986	UniRef:UniRef50_A0A3W5NHS7
contig_23	cds	1280	3139	+	PKJKAM_00044	1149.0	0.0	1.0	1.0	0.977	UniRef:UniRef50_A0A376VWW4
contig_23	cds	3683	4702	+	PKJKAM_00045	667.0	1.8e-243	0.997	0.983	0.976	UniRef:UniRef50_R9R0L3
contig_23	cds	4963	5127	-	PKJKAM_00046	-	-	-	-	-	-
contig_24	cds	65	613	+	PKJKAM_00047	305.0	1.5e-105	1.0	1.017	0.846	UniRef:UniRef50_A0A377D0T6
contig_24	cds	613	1269	+	PKJKAM_00048	206.0	5.2e-65	0.950	0.866	0.560	UniRef:UniRef50_A0A836S8T1
contig_24	cds	1312	2058	+	PKJKAM_00049	365.0	3.0e-128	0.988	1.263	0.784	UniRef:UniRef50_A0A379UYJ0
contig_24	cds	2055	2267	+	PKJKAM_00050	122.0	1.8e-36	1.0	0.854	0.986	UniRef:UniRef50_P0ABM5
contig_24	cds	2264	2743	+	PKJKAM_00051	228.0	3.4e-76	0.849	0.900	0.844	UniRef:UniRef50_A0A2X3JV19
contig_24	cds	2740	4671	+	PKJKAM_00052	1065.0	0.0	0.862	0.931	0.980	UniRef:UniRef50_G5Q502
contig_24	cds	4668	5225	+	PKJKAM_00053	230.0	8.9e-76	0.978	0.948	0.591	UniRef:UniRef50_A0A318G2B8
contig_25	cds	924	1199	+	PKJKAM_00054	-	-	-	-	-	-
contig_25	cds	1192	2130	-	PKJKAM_00055	530.0	1.0e-189	1.096	1.0	0.792	UniRef:UniRef50_A0A077NC40
contig_25	cds	2130	3260	-	PKJKAM_00056	556.0	6.7e-198	0.997	0.893	0.787	UniRef:UniRef50_P69811
contig_25	cds	3328	3435	-	PKJKAM_00057	-	-	-	-	-	-
contig_25	cds	3629	4810	+	PKJKAM_00058	709.0	4.6e-258	1.0	0.938	0.913	UniRef:UniRef50_P33027
contig_25	cds	4875	5540	-	PKJKAM_00059	400.0	6.6e-142	1.032	1.0	0.939	UniRef:UniRef50_A9MK41
contig_25	cds	6052	6306	-	PKJKAM_00060	110.0	1.8e-31	0.976	0.854	0.634	UniRef:UniRef50_A0A2K4X8F0
contig_26	cds	205	411	+	PKJKAM_00061	-	-	-	-	-	-
contig_26	cds	573	2333	+	PKJKAM_00062	704.0	8.4e-250	1.002	0.961	0.612	UniRef:UniRef50_E0SHT3
contig_26	cds	2402	2920	+	PKJKAM_00063	218.0	3.7e-71	0.994	0.855	0.591	UniRef:UniRef50_Q0I3F9
contig_26	cds	3443	4006	-	PKJKAM_00064	211.0	4.3e-68	0.989	0.856	0.578	UniRef:UniRef50_H5UX00
contig_26	cds	4003	5643	-	PKJKAM_00065	683.0	6.6e-243	1.002	0.961	0.645	UniRef:UniRef50_A0A7S4LWD3
contig_26	cds	5648	6901	-	PKJKAM_00066	558.0	4.3e-197	0.981	0.876	0.682	UniRef:UniRef50_P0AFL9
contig_26	cds	6916	8823	-	PKJKAM_00067	1166.0	0.0	1.124	1.0	0.874	UniRef:UniRef50_P43672
contig_26	cds	8836	10944	-	PKJKAM_00068	1166.0	0.0	0.823	0.993	1.0	UniRef:UniRef50_A0A379WW56
contig_26	cds	11043	12152	+	PKJKAM_00069	738.0	3.5e-270	1.089	1.0	0.913	UniRef:UniRef50_P75863
contig_26	cds	12149	12691	-	PKJKAM_00070	377.0	2.5e-136	1.0	1.0	1.0	BlastRules:WP_001220671
contig_27	cds	58	477	+	PKJKAM_00071	-	-	-	-	-	-
contig_27	cds	474	1499	-	PKJKAM_00072	567.0	5.8e-203	1.0	0.838	0.824	UniRef:UniRef50_P0ACP7
contig_27	ncRNA	1500	1887	+	PKJKAM_00073	478.8	3.0e-53	-	-	-	RFAM:RF02081
contig_27	cds	1795	1884	+	PKJKAM_00074	47.4	3.7e-08	1.0	0.967	0.862	UniRef:UniRef50_R8WW16
contig_27	cds	1967	2548	-	PKJKAM_00075	304.0	3.1e-104	0.995	0.824	0.760	UniRef:UniRef50_P0AGD3
contig_27	cds	2675	3496	-	PKJKAM_00076	349.0	4.8e-120	1.007	1.0	0.695	UniRef:UniRef50_A0A240BYM5
contig_27	cds	3831	4178	+	PKJKAM_00077	229.0	7.1e-80	1.0	1.0	0.974	BlastRules:WP_000108172
contig_27	cds	4256	4903	-	PKJKAM_00078	346.0	7.3e-121	0.977	0.972	0.810	UniRef:UniRef50_A0A316FMG5
contig_27	cds	5004	5411	-	PKJKAM_00079	227.0	1.4e-76	0.807	0.991	1.0	UniRef:UniRef50_A0A540WGT6
contig_27	cds	5480	6577	-	PKJKAM_00080	478.0	1.0e-167	0.992	0.958	0.646	UniRef:UniRef50_A0A6I6EQN1
contig_27	cds	6636	7022	-	PKJKAM_00081	-	-	-	-	-	-
contig_27	cds	7330	7569	+	PKJKAM_00082	93.6	7.4e-25	1.063	0.875	0.524	UniRef:UniRef50_A0A166Z1I3
contig_27	cds	7620	8516	+	PKJKAM_00083	350.0	1.2e-119	1.013	0.956	0.576	UniRef:UniRef50_A0A5P9CR46
contig_27	cds	8596	9117	+	PKJKAM_00084	176.0	5.7e-55	0.861	0.814	0.604	UniRef:UniRef50_A0AA86JA85
