#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_3	147	611	-	IKCLMC_00001	15.8	10.0		
contig_5	43	588	+	IKCLMC_00004	20.0	10.0	PF13593.11|SBF_like	PFAM:PF13593.11
contig_7	51	305	+	IKCLMC_00005	9.3	10.3		SO:0001217, UniRef:UniRef50_A0A139DFB7
contig_8	139	525	-	IKCLMC_00007	14.7	9.0	PF01367.25|5_3_exonuc	PFAM:PF01367.25
contig_12	49	204	+	IKCLMC_00010	6.0	4.3		
contig_13	403	645	+	IKCLMC_00011	8.6	9.6		
contig_16	282	437	+	IKCLMC_00013	6.0	4.3		
contig_17	64	747	+	IKCLMC_00014	25.6	11.4		
contig_20	621	776	-	IKCLMC_00017	5.8	5.4		
contig_22	130	558	-	IKCLMC_00018	15.1	5.9		
contig_22	563	880	-	IKCLMC_00019	11.6	5.3		
contig_29	78	239	+	IKCLMC_00026	6.4	4.3		
contig_33	335	553	+	IKCLMC_00030	7.8	8.0		SO:0001217, UniRef:UniRef50_A0A5U3I4D7
contig_35	11	328	+	IKCLMC_00032	12.2	10.4		
contig_40	152	676	+	IKCLMC_00041	18.3	4.5		
contig_40	6357	6530	+	IKCLMC_00046	6.6	4.9		
contig_41	280	795	+	IKCLMC_00048	18.3	10.0		
contig_41	7406	7792	+	IKCLMC_00056	13.3	5.2		
contig_42	16033	16638	-	IKCLMC_00082	22.8	11.8		
contig_42	17344	17679	-	IKCLMC_00084	12.5	11.1		
contig_43	83	493	+	IKCLMC_00085	14.9	5.0		
contig_43	536	775	+	IKCLMC_00086	8.7	10.4		
contig_45	1614	1865	+	IKCLMC_00156	9.0	9.6		
contig_45	8179	8472	+	IKCLMC_00162	10.4	4.1		SO:0001217, UniRef:UniRef50_A0A5Y3Q3P3
contig_45	9998	10528	-	IKCLMC_00166	20.5	10.7	PF04352.18|ProQ	PFAM:PF04352.18
contig_45	11673	12689	-	IKCLMC_00168	36.8	5.1		
contig_45	14470	16686	+	IKCLMC_00170	81.8	5.3	PF07669.17|Eco57I	PFAM:PF07669.17
contig_45	22051	22203	+	IKCLMC_00173	6.0	10.0		
