# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	ncRNA	22	130	+	ODDLKH_00001	StyR-44	Salmonella enterica Typhi npcRNA 44	RFAM:RF01830, SO:0000655
contig_1	rRNA	138	3129	+	ODDLKH_00002	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_1	rRNA	3326	3441	+	ODDLKH_00003	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_1	cds	3623	4651	+	ODDLKH_00004		UDP-N-acetylenolpyruvoylglucosamine reductase	SO:0001217, UniRef:UniRef50_Q6DAP0
contig_1	cds	4648	5610	+	ODDLKH_00005	birA	Bifunctional ligase/repressor BirA	SO:0001217, UniRef:UniRef50_P06709
contig_1	cds	5645	6571	-	ODDLKH_00006		Pantothenate kinase	SO:0001217, UniRef:UniRef50_P54556
contig_2	cds	109	537	+	ODDLKH_00007		Large ribosomal subunit protein uL11	SO:0001217, UniRef:UniRef50_P10055
contig_2	cds	541	1245	+	ODDLKH_00008		Large ribosomal subunit protein uL1	SO:0001217, UniRef:UniRef50_P0A7L0
contig_2	cds	1665	2162	+	ODDLKH_00009		50S ribosomal protein L10	SO:0001217, UniRef:UniRef50_A0A485B5U9
contig_2	cds	2229	2594	+	ODDLKH_00010		Large ribosomal subunit protein bL12	SO:0001217, UniRef:UniRef50_P0A7K2
contig_2	ncRNA	2599	2660	+	ODDLKH_00011	P26	Pseudomonas sRNA P26	RFAM:RF00630, SO:0000655
contig_2	cds	2912	6940	+	ODDLKH_00012		DNA-directed RNA polymerase subunit beta	SO:0001217, UniRef:UniRef50_P0A8V2
contig_2	cds	7017	11240	+	ODDLKH_00013		DNA-directed RNA polymerase subunit beta'	SO:0001217, UniRef:UniRef50_Q65W40
contig_2	cds	11327	11608	+	ODDLKH_00014		Inner membrane protein	SO:0001217, UniRef:UniRef50_A0A657G0Q6
contig_2	cds	11610	11954	-	ODDLKH_00015		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A0T9RQT6
contig_2	cds	11908	12045	-	ODDLKH_00016		hypothetical protein	
contig_2	cds	12703	13836	-	ODDLKH_00017	thiH	2-iminoacetate synthase ThiH	SO:0001217, UniRef:UniRef50_A0A7T3X3R1
contig_2	cds	13833	14603	-	ODDLKH_00018	thiG	thiazole synthase	BlastRules:WP_000944065, BlastRules:WP_000944073, EC:2.8.1.10, SO:0001217, UniRef:UniRef50_A0AAN0S2Q0
contig_2	cds	14605	14805	-	ODDLKH_00019	thiS	Sulfur carrier protein ThiS	SO:0001217, UniRef:UniRef50_A0A0T9N4J8
contig_2	cds	14786	15544	-	ODDLKH_00020	thiF	Thiazole biosynthesis adenylyltransferase ThiF	SO:0001217, UniRef:UniRef50_A0A8S0FGV7
contig_2	cds	15537	16172	-	ODDLKH_00021		Thiamine-phosphate synthase	SO:0001217, UniRef:UniRef50_B5FF67
contig_2	cds	16172	18067	-	ODDLKH_00022		Phosphomethylpyrimidine synthase	SO:0001217, UniRef:UniRef50_Q6G477
contig_2	cds	18431	18919	-	ODDLKH_00023		Regulator of sigma D	SO:0001217, UniRef:UniRef50_P0AFX4
contig_2	cds	19012	19785	+	ODDLKH_00024	nudC	NAD-capped RNA hydrolase NudC	SO:0001217, UniRef:UniRef50_P32664
contig_2	cds	19826	20890	+	ODDLKH_00025		Uroporphyrinogen decarboxylase	SO:0001217, UniRef:UniRef50_A9KCZ5
contig_2	cds	20900	21571	+	ODDLKH_00026		Endonuclease V	SO:0001217, UniRef:UniRef50_I2BE02
contig_2	cds	21613	22203	+	ODDLKH_00027		DUF416 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6L2ZL37
contig_2	cds	22390	22662	+	ODDLKH_00028		DNA-binding protein HU-beta	SO:0001217, UniRef:UniRef50_A0A090ASH9
contig_2	cds	22674	23366	+	ODDLKH_00029	yjaH	Uncharacterized protein YjaH	SO:0001217, UniRef:UniRef50_P32681
contig_2	cds	23408	23863	-	ODDLKH_00030		Zinc resistance-associated protein	SO:0001217, UniRef:UniRef50_A0A484Y856
contig_2	cds	23928	25514	+	ODDLKH_00031	zraS	Sensor histidine kinase ZraS	SO:0001217, UniRef:UniRef50_P14377
contig_2	cds	25520	26845	+	ODDLKH_00032		Two-component system response regulator	SO:0001217, UniRef:UniRef50_A0A3S4KDD1
contig_2	cds	26842	28131	-	ODDLKH_00033		Phosphoribosylamine--glycine ligase	SO:0001217, UniRef:UniRef50_P15640
contig_2	cds	28143	29732	-	ODDLKH_00034	purH	Bifunctional purine biosynthesis protein PurH	SO:0001217, UniRef:UniRef50_P15639
contig_2	rRNA	30358	31899	+	ODDLKH_00035	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
contig_2	tRNA	31985	32060	+	ODDLKH_00036	trnE	tRNA-Glu(ttc)	SO:0000259
contig_2	ncRNA	32138	32246	+	ODDLKH_00037	StyR-44	Salmonella enterica Typhi npcRNA 44	RFAM:RF01830, SO:0000655
